-0.000000,0.000401,0.475732,0.000508,-0.000000,-0.000000,-0.000000,ovf,0.000003,-0.061419,-0.000000,ovf,0.000000,ovf,-251194.359375,ovf,-0.000001,ovf
2.020000,5.543935,0.000000,-0.000929,0.029240,0.000000,-0.002600,-0.032425,5.679889,0.039367,0.098785,-128.799026,0.000020,-0.002174,0.000000,0.000000,0.000000,0.000000
0.570000,-2.098879,0.000000,-0.000489,0.008251,0.000000,-0.002620,-0.009712,-2.178260,0.041541,0.035214,41.505924,-0.000068,0.000885,0.000000,0.000000,0.000000,0.000000
3.030000,3.560856,0.000000,-0.000118,0.043859,0.000000,-0.002553,-0.050815,3.741138,0.040656,0.211604,-62.065426,-0.000066,-0.000604,0.000000,0.000000,0.000000,0.000000
-3.640000,-9.654842,0.000000,0.000359,-0.052689,0.000000,-0.002486,0.064063,-10.317193,0.041260,-0.298525,152.956131,-0.000022,0.002090,0.000000,0.000000,0.000000,0.000000
4.510000,11.797146,0.000000,0.000550,0.065282,0.000000,-0.002464,-0.082090,12.830738,0.039171,0.419604,-173.413864,0.000021,-0.002152,0.000000,0.000000,0.000000,0.000000
2.300000,-3.198981,0.000000,0.001092,0.033293,0.000000,-0.002485,-0.043067,-3.555240,0.041323,0.237697,44.500660,-0.000184,0.001490,0.000000,0.000000,0.000000,0.000000
1.560000,-1.071152,0.000000,0.001546,0.022581,0.000000,-0.002301,-0.029785,-1.220405,0.039833,0.175270,14.327624,-0.000103,0.000743,0.000000,0.000000,0.000000,0.000000
-4.190000,-8.323140,0.000000,0.001979,-0.060650,0.000000,-0.002198,0.094212,-9.685232,0.039091,-0.584981,107.758911,0.000072,0.000457,0.000000,0.000000,0.000000,0.000000
-2.620000,2.547605,0.000000,-0.001866,-0.037925,0.000000,-0.002831,0.037019,2.566847,0.042654,-0.066087,-99.331367,0.000149,-0.002060,0.000000,0.000000,0.000000,0.000000
-4.620000,-2.895005,0.000000,-0.001867,-0.066875,0.000000,-0.002979,0.066561,-2.919096,0.044715,-0.118826,112.962646,0.000124,0.001821,0.000000,0.000000,0.000000,0.000000
-7.690000,-4.443833,0.000000,-0.001667,-0.111313,0.000000,-0.003104,0.114660,-4.512736,0.042894,-0.278761,128.233765,0.000224,0.001671,0.000000,0.000000,0.000000,0.000000
2.780000,15.155352,0.000000,-0.001623,0.040241,0.000000,-0.003328,-0.044995,15.529803,0.041223,0.137081,-352.158905,0.000172,-0.006300,0.000000,0.000000,0.000000,0.000000
-1.970000,-6.875638,0.000000,-0.001118,-0.028516,0.000000,-0.003500,0.030447,-7.131135,0.047523,-0.110389,135.881088,-0.000053,0.002286,0.000000,0.000000,0.000000,0.000000
