-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
-2.740000,3.821407,0.000000,-0.000219,-0.039662,0.000000,-0.002089,0.043832,3.960310,0.036042,-0.158918,-75.462212,0.000193,-0.001862,0.000000,0.000000,0.000000,0.000000
6.910000,13.968399,0.000000,0.000003,0.100022,0.000000,-0.002282,-0.115570,14.682798,0.037905,0.481261,-243.587357,-0.000035,-0.003307,0.000000,0.000000,0.000000,0.000000
-7.990000,-21.567787,0.000000,0.000643,-0.115655,0.000000,-0.002247,0.140447,-23.043903,0.041212,-0.654468,341.634247,-0.000056,0.004705,0.000000,0.000000,0.000000,0.000000
-1.630000,9.206116,0.000000,0.000647,-0.023594,0.000000,-0.002191,0.030742,10.012155,0.036507,-0.157137,-135.319290,0.000273,-0.002996,0.000000,0.000000,0.000000,0.000000
0.790000,3.502956,0.000000,0.000926,0.011435,0.000000,-0.002464,-0.014056,3.885046,0.039503,0.077577,-48.628803,0.000035,-0.000705,0.000000,0.000000,0.000000,0.000000
1.760000,1.404077,0.000000,0.001311,0.025476,0.000000,-0.002499,-0.034216,1.589478,0.040208,0.201345,-18.660572,-0.000063,0.000193,0.000000,0.000000,0.000000,0.000000
-2.720000,-11.912946,0.000000,-0.002170,-0.039372,0.000000,-0.003137,0.038190,-12.008703,0.043046,-0.068178,464.710571,-0.000124,0.008615,0.000000,0.000000,0.000000,0.000000
-2.520000,0.289501,0.000000,-0.002174,-0.036477,0.000000,-0.003013,0.035123,0.291016,0.034431,-0.062702,-11.261683,0.000101,-0.000399,0.000000,0.000000,0.000000,0.000000
-4.820000,-3.329256,0.000000,-0.001975,-0.069770,0.000000,-0.003114,0.070896,-3.380907,0.034830,-0.172360,96.071739,0.000128,0.001354,0.000000,0.000000,0.000000,0.000000
-2.680000,3.097656,0.000000,-0.001897,-0.038793,0.000000,-0.003242,0.039656,3.173313,0.033476,-0.120813,-71.959068,0.000167,-0.001692,0.000000,0.000000,0.000000,0.000000
