0.475724,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,ovf,0.000000,ovf,-259390.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-8.510000,-5.891335,0.000000,0.000329,-0.123182,0.000000,0.000088,0.126463,-5.938438,0.009053,-0.225766,229.804581,0.000229,0.003737,0.000000,0.000000,0.000000,0.000000
0.240000,12.665648,0.000000,0.000047,0.003474,0.000000,-0.000142,-0.003583,12.857964,0.005317,0.008712,-365.371460,0.000233,-0.006902,0.000000,0.000000,0.000000,0.000000
0.960000,1.042202,0.000000,0.000176,0.013896,0.000000,-0.000375,-0.014747,1.067497,0.012218,0.044926,-24.206903,-0.000020,-0.000324,0.000000,0.000000,0.000000,0.000000
12.750000,17.066055,0.000000,0.000337,0.184557,0.000000,-0.000355,-0.204723,17.693895,0.012543,0.742245,-337.150452,-0.000219,-0.004376,0.000000,0.000000,0.000000,0.000000
8.820000,-5.688685,0.000000,0.001021,0.127670,0.000000,-0.000136,-0.146340,-5.981874,0.016918,0.609394,99.239182,-0.000509,0.003536,0.000000,0.000000,0.000000,0.000000
-0.050000,-12.839348,0.000000,0.001540,-0.000724,0.000000,0.000372,0.002733,-13.717770,0.013382,-0.012737,203.370926,-0.000251,0.003810,0.000000,0.000000,0.000000,0.000000
-4.130000,-5.905810,0.000000,0.001689,-0.059782,0.000000,0.000624,0.077955,-6.426342,0.009573,-0.398466,86.855240,0.000090,0.000560,0.000000,0.000000,0.000000,0.000000
-13.220000,-13.157799,0.000000,0.001677,-0.191360,0.000000,0.000534,0.258175,-14.608616,0.009013,-1.424942,182.854904,0.000422,-0.000393,0.000000,0.000000,0.000000,0.000000
-2.080000,16.125179,0.000000,0.001294,-0.030108,0.000000,0.000112,0.044464,18.302727,0.009406,-0.261647,-214.875137,0.000466,-0.004776,0.000000,0.000000,0.000000,0.000000
3.800000,8.511314,0.000000,0.001385,0.055005,0.000000,-0.000354,-0.080659,9.896471,0.014182,0.500827,-110.109177,-0.000032,-0.000721,0.000000,0.000000,0.000000,0.000000
0.500000,-4.776759,0.000000,0.001730,0.007238,0.000000,-0.000322,-0.008828,-5.706053,0.014903,0.057347,60.682949,-0.000132,0.001306,0.000000,0.000000,0.000000,0.000000
-13.990000,5.268908,0.000000,-0.000938,-0.202506,0.000000,-0.001462,0.206438,5.310256,0.023086,-0.368539,-205.495316,0.000659,-0.004890,0.000000,0.000000,0.000000,0.000000
-5.570000,12.187971,0.000000,-0.001431,-0.080626,0.000000,-0.002121,0.081087,12.284245,0.027977,-0.144759,-475.373474,0.000451,-0.009384,0.000000,0.000000,0.000000,0.000000
-1.780000,5.486035,0.000000,-0.001314,-0.025766,0.000000,-0.002571,0.025570,5.568221,0.037360,-0.062165,-158.226395,0.000174,-0.003147,0.000000,0.000000,0.000000,0.000000
8.680000,15.140877,0.000000,-0.001031,0.125643,0.000000,-0.002745,-0.136149,15.514915,0.040507,0.414786,-351.821320,-0.000075,-0.005534,0.000000,0.000000,0.000000,0.000000
8.050000,-0.911927,0.000000,-0.000282,0.116524,0.000000,-0.002670,-0.129807,-0.947871,0.046041,0.470628,18.061319,-0.000369,0.001625,0.000000,0.000000,0.000000,0.000000
2.330000,-8.279715,0.000000,0.000434,0.033727,0.000000,-0.002301,-0.038469,-8.707329,0.044416,0.160193,144.454453,-0.000268,0.003166,0.000000,0.000000,0.000000,0.000000
4.640000,3.343731,0.000000,0.000905,0.067164,0.000000,-0.002033,-0.080018,3.568984,0.041250,0.372873,-52.911484,-0.000148,0.000001,0.000000,0.000000,0.000000,0.000000
-6.350000,-15.908052,0.000000,0.001480,-0.091916,0.000000,-0.001885,0.118442,-17.309841,0.041249,-0.605414,233.951218,-0.000007,0.002792,0.000000,0.000000,0.000000,0.000000
-1.740000,6.672987,0.000000,0.001598,-0.025187,0.000000,-0.001878,0.035822,7.403889,0.038457,-0.197714,-92.673889,0.000237,-0.002295,0.000000,0.000000,0.000000,0.000000
-0.060000,2.431804,0.000000,0.001921,-0.000869,0.000000,-0.002115,0.003949,2.755621,0.040752,-0.023239,-32.351154,0.000062,-0.000671,0.000000,0.000000,0.000000,0.000000
1.010000,1.548828,0.000000,0.002325,0.014620,0.000000,-0.002177,-0.018494,1.795657,0.041423,0.114835,-19.978666,-0.000016,-0.000066,0.000000,0.000000,0.000000,0.000000
-8.360000,-5.080734,0.000000,-0.002312,-0.121011,0.000000,-0.003427,0.121650,-5.122315,0.049470,-0.217174,198.222397,0.000232,0.003166,0.000000,0.000000,0.000000,0.000000
-4.490000,5.601835,0.000000,-0.002521,-0.064993,0.000000,-0.003659,0.063964,5.645308,0.046304,-0.114191,-218.461105,0.000279,-0.004451,0.000000,0.000000,0.000000,0.000000
