-0.000000,0.000000,0.951464,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,-251196.359375,ovf,-0.000000,ovf
1.950000,6.976962,0.000000,-0.000265,0.028226,0.000000,-0.000039,-0.029578,7.065680,-0.006710,0.066028,-218.666275,0.000053,-0.003958,0.000000,0.000000,0.000000,0.000000
0.240000,-2.475230,0.000000,-0.000219,0.003474,0.000000,-0.000092,-0.003933,-2.528433,-0.002753,0.011241,61.120041,-0.000059,0.001195,0.000000,0.000000,0.000000,0.000000
0.480000,0.347401,0.000000,-0.000253,0.006948,0.000000,-0.000034,-0.007915,0.359045,-0.003948,0.027298,-7.192139,-0.000015,-0.000065,0.000000,0.000000,0.000000,0.000000
0.230000,-0.361876,0.000000,-0.000278,0.003329,0.000000,-0.000019,-0.004116,-0.378410,-0.003883,0.016464,6.534861,-0.000018,0.000168,0.000000,0.000000,0.000000,0.000000
-1.040000,-1.838328,0.000000,-0.000316,-0.015054,0.000000,-0.000001,0.017545,-1.953246,-0.004051,-0.079124,29.921938,0.000011,0.000352,0.000000,0.000000,0.000000,0.000000
-1.510000,-0.680326,0.000000,-0.000410,-0.021857,0.000000,-0.000011,0.026773,-0.735259,-0.004404,-0.133200,10.209818,0.000058,-0.000168,0.000000,0.000000,0.000000,0.000000
-1.270000,0.347401,0.000000,-0.000527,-0.018383,0.000000,-0.000070,0.023478,0.383767,-0.004236,-0.126699,-4.912870,0.000071,-0.000435,0.000000,0.000000,0.000000,0.000000
-0.090000,1.708053,0.000000,-0.000637,-0.001303,0.000000,-0.000140,0.000926,1.925767,-0.003801,-0.005346,-23.037985,0.000039,-0.000450,0.000000,0.000000,0.000000,0.000000
-0.690000,-0.868502,0.000000,-0.000702,-0.009988,0.000000,-0.000179,0.013702,-1.001395,-0.003351,-0.083746,11.318946,0.000018,-0.000011,0.000000,0.000000,0.000000,0.000000
-0.220000,0.680326,0.000000,-0.000797,-0.003185,0.000000,-0.000197,0.003751,0.806508,-0.003339,-0.024046,-8.691802,0.000025,-0.000230,0.000000,0.000000,0.000000,0.000000
-0.280000,-0.086850,0.000000,-0.000877,-0.004053,0.000000,-0.000223,0.005326,-0.104441,-0.003110,-0.035542,1.081290,0.000012,-0.000075,0.000000,0.000000,0.000000,0.000000
2.520000,4.053007,0.000000,-0.000966,0.036477,0.000000,-0.000235,-0.067214,5.080429,-0.003034,0.463943,-50.847851,-0.000086,0.000292,0.000000,0.000000,0.000000,0.000000
2.040000,-4.776759,0.000000,0.002426,0.029529,0.000000,0.002374,-0.027969,-4.814639,-0.008247,0.049932,186.316040,-0.000167,0.003662,0.000000,0.000000,0.000000,0.000000
3.750000,2.475230,0.000000,0.002286,0.054281,0.000000,0.002541,-0.053238,2.495114,-0.011910,0.095041,-96.555489,-0.000096,-0.001578,0.000000,0.000000,0.000000,0.000000
-2.300000,-8.757390,0.000000,0.002377,-0.033293,0.000000,0.002637,0.037301,-8.890345,-0.010332,-0.090687,252.627731,-0.000067,0.004541,0.000000,0.000000,0.000000,0.000000
-1.780000,0.752701,0.000000,0.002202,-0.025766,0.000000,0.002704,0.030059,0.771715,-0.014873,-0.091577,-17.499672,0.000096,-0.000587,0.000000,0.000000,0.000000,0.000000
-0.940000,1.215902,0.000000,0.002065,-0.013607,0.000000,0.002608,0.017416,1.260999,-0.014285,-0.063144,-24.027851,0.000071,-0.000625,0.000000,0.000000,0.000000,0.000000
0.220000,1.679103,0.000000,0.001981,0.003185,0.000000,0.002537,-0.001391,1.765503,-0.013661,0.005793,-29.289658,0.000030,-0.000538,0.000000,0.000000,0.000000,0.000000
3.990000,5.457085,0.000000,0.001960,0.057755,0.000000,0.002508,-0.067381,5.829947,-0.013123,0.313989,-86.431099,-0.000072,-0.000786,0.000000,0.000000,0.000000,0.000000
-7.690000,-16.906830,0.000000,0.002114,-0.111313,0.000000,0.002580,0.143843,-18.392733,-0.012337,-0.735255,248.587051,0.000041,0.002720,0.000000,0.000000,0.000000,0.000000
-5.820000,2.706830,0.000000,0.001787,-0.084245,0.000000,0.002539,0.115062,3.005090,-0.015056,-0.635059,-37.614479,0.000368,-0.002435,0.000000,0.000000,0.000000,0.000000
-0.020000,8.395514,0.000000,0.001552,-0.000290,0.000000,0.002171,0.002607,9.530116,-0.012621,-0.015340,-111.884125,0.000187,-0.002156,0.000000,0.000000,0.000000,0.000000
0.620000,0.926402,0.000000,0.001569,0.008975,0.000000,0.001984,-0.011139,1.077055,-0.010466,0.069166,-11.983431,-0.000010,-0.000036,0.000000,0.000000,0.000000,0.000000
