0.473771,0.000569,0.000000,-0.064653,-0.000000,ovf,0.000003,-0.000000,-0.000000,-198.274826,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
-1.570000,-0.463201,0.000000,-0.001029,-0.022726,0.000000,-0.002468,0.022689,-0.471633,0.042176,-0.055161,13.401918,0.000052,0.000112,0.000000,0.000000,0.000000,0.000000
-1.370000,0.289501,0.000000,-0.000715,-0.019831,0.000000,-0.002521,0.020545,0.294932,0.042064,-0.062592,-6.687977,0.000061,-0.000296,0.000000,0.000000,0.000000,0.000000
5.900000,10.523344,0.000000,-0.000399,0.085403,0.000000,-0.002582,-0.095351,10.908796,0.042360,0.345704,-207.862991,-0.000051,-0.003000,0.000000,0.000000,0.000000,0.000000
0.220000,-8.221815,0.000000,0.000236,0.003185,0.000000,-0.002530,-0.003407,-8.646459,0.045360,0.014189,143.444626,-0.000173,0.002760,0.000000,0.000000,0.000000,0.000000
-3.800000,-5.818960,0.000000,0.000623,-0.055005,0.000000,-0.002357,0.067179,-6.219508,0.042600,-0.313047,92.206474,0.000064,0.000894,0.000000,0.000000,0.000000,0.000000
-2.660000,1.650153,0.000000,0.000842,-0.038504,0.000000,-0.002422,0.049897,1.791681,0.041706,-0.255047,-24.215475,0.000169,-0.001150,0.000000,0.000000,0.000000,0.000000
-3.280000,-0.897452,0.000000,0.001115,-0.047478,0.000000,-0.002590,0.064990,-1.000372,0.042856,-0.358697,12.521574,0.000157,-0.000731,0.000000,0.000000,0.000000,0.000000
2.230000,7.975739,0.000000,0.001367,0.032279,0.000000,-0.002747,-0.043770,9.048952,0.043587,0.257566,-106.235237,0.000053,-0.001313,0.000000,0.000000,0.000000,0.000000
1.610000,-0.897452,0.000000,0.001859,0.023305,0.000000,-0.002800,-0.032260,-1.049359,0.044901,0.200310,11.675279,-0.000107,0.000765,0.000000,0.000000,0.000000,0.000000
-0.910000,-1.259327,0.000000,-0.002178,-0.013172,0.000000,-0.003248,0.011366,-1.270470,0.047405,-0.020292,49.164406,0.000007,0.000875,0.000000,0.000000,0.000000,0.000000
-3.750000,-4.110908,0.000000,-0.002101,-0.054281,0.000000,-0.003255,0.053427,-4.144704,0.046531,-0.095379,160.391006,0.000066,0.002777,0.000000,0.000000,0.000000,0.000000
-3.280000,0.680326,0.000000,-0.001863,-0.047478,0.000000,-0.003321,0.047702,0.689293,0.043753,-0.115972,-19.586941,0.000142,-0.000690,0.000000,0.000000,0.000000,0.000000
-3.530000,-0.361876,0.000000,-0.001615,-0.051097,0.000000,-0.003463,0.053183,-0.372581,0.044443,-0.162024,8.448771,0.000137,-0.000277,0.000000,0.000000,0.000000,0.000000
0.360000,5.630785,0.000000,-0.001392,0.005211,0.000000,-0.003599,-0.007338,5.836123,0.044720,0.026603,-111.205101,0.000090,-0.002033,0.000000,0.000000,0.000000,0.000000
0.960000,0.868501,0.000000,-0.001007,0.013896,0.000000,-0.003690,-0.017220,0.910536,0.046753,0.071709,-15.105778,-0.000030,-0.000088,0.000000,0.000000,0.000000,0.000000
0.510000,-0.651376,0.000000,-0.000605,0.007382,0.000000,-0.003660,-0.009645,-0.698795,0.046842,0.044946,10.359898,-0.000039,0.000318,0.000000,0.000000,0.000000,0.000000
-4.380000,-7.078288,0.000000,-0.000227,-0.063401,0.000000,-0.003621,0.080115,-7.703674,0.046524,-0.409506,104.119026,0.000071,0.000863,0.000000,0.000000,0.000000,0.000000
-1.290000,4.472783,0.000000,-0.000059,-0.018673,0.000000,-0.003692,0.024895,4.961771,0.045660,-0.137403,-62.106098,0.000161,-0.001549,0.000000,0.000000,0.000000,0.000000
7.040000,13.678900,0.000000,-0.001451,0.101904,0.000000,-0.002310,-0.105737,13.786775,0.037801,0.188764,-533.518066,-0.000025,-0.009589,0.000000,0.000000,0.000000,0.000000
2.420000,-6.687462,0.000000,-0.001085,0.035030,0.000000,-0.002284,-0.036978,-6.741820,0.047390,0.066014,260.893707,-0.000228,0.005136,0.000000,0.000000,0.000000,0.000000
-3.680000,-8.829766,0.000000,-0.000596,-0.053268,0.000000,-0.002057,0.055081,-8.965405,0.042254,-0.133912,254.760651,-0.000020,0.004452,0.000000,0.000000,0.000000,0.000000
-2.210000,2.127829,0.000000,-0.000397,-0.031990,0.000000,-0.002036,0.033956,2.179015,0.037801,-0.103448,-49.412056,0.000133,-0.001224,0.000000,0.000000,0.000000,0.000000
-2.610000,-0.579001,0.000000,-0.000135,-0.037780,0.000000,-0.002170,0.041835,-0.602346,0.039025,-0.151675,11.477474,0.000102,-0.000191,0.000000,0.000000,0.000000,0.000000
-3.530000,-1.331702,0.000000,0.000107,-0.051097,0.000000,-0.002271,0.059165,-1.402424,0.039216,-0.246377,23.266182,0.000133,-0.000226,0.000000,0.000000,0.000000,0.000000
0.920000,6.441386,0.000000,0.000309,0.013317,0.000000,-0.002404,-0.015709,6.878558,0.039441,0.073202,-101.977135,0.000088,-0.001733,0.000000,0.000000,0.000000,0.000000
-2.160000,-4.458308,0.000000,0.000703,-0.031266,0.000000,-0.002492,0.040542,-4.853496,0.041174,-0.207230,65.597427,0.000018,0.000685,0.000000,0.000000,0.000000,0.000000
-7.460000,-7.671763,0.000000,0.000970,-0.107984,0.000000,-0.002510,0.145719,-8.520484,0.040489,-0.804263,106.650230,0.000233,-0.000157,0.000000,0.000000,0.000000,0.000000
11.920000,28.052599,0.000000,0.001019,0.172542,0.000000,-0.002742,-0.242870,31.839634,0.040647,1.429171,-373.799194,-0.000055,-0.003212,0.000000,0.000000,0.000000,0.000000
2.160000,-14.127625,0.000000,0.001886,0.031266,0.000000,-0.002688,-0.044195,-16.436369,0.043858,0.274416,182.872757,-0.000431,0.004211,0.000000,0.000000,0.000000,0.000000
-7.960000,-4.443833,0.000000,-0.001722,-0.115221,0.000000,-0.002737,0.116317,-4.480254,0.044726,-0.207652,173.376038,0.000231,0.002713,0.000000,0.000000,0.000000,0.000000
-1.920000,8.742915,0.000000,-0.001927,-0.027792,0.000000,-0.002968,0.026483,8.811452,0.042013,-0.047278,-340.983917,0.000238,-0.006589,0.000000,0.000000,0.000000,0.000000
-10.720000,-12.738023,0.000000,-0.001564,-0.155172,0.000000,-0.003206,0.160634,-12.933201,0.048602,-0.390530,367.509430,0.000189,0.005915,0.000000,0.000000,0.000000,0.000000
-5.550000,7.483588,0.000000,-0.001626,-0.080336,0.000000,-0.003395,0.084598,7.667624,0.042688,-0.257733,-173.873535,0.000374,-0.004000,0.000000,0.000000,0.000000,0.000000
0.260000,8.409989,0.000000,-0.001465,0.003764,0.000000,-0.003769,-0.005811,8.717602,0.046688,0.021068,-166.110596,0.000149,-0.003081,0.000000,0.000000,0.000000,0.000000
-2.100000,-3.416106,0.000000,-0.001060,-0.030398,0.000000,-0.003917,0.033899,-3.594070,0.049769,-0.141162,59.625568,0.000023,0.000753,0.000000,0.000000,0.000000,0.000000
4.050000,8.902141,0.000000,-0.000766,0.058624,0.000000,-0.003941,-0.071722,9.507147,0.049016,0.334217,-140.946899,-0.000014,-0.001766,0.000000,0.000000,0.000000,0.000000
