0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-0.290000,2.055454,0.000000,0.001150,-0.004198,0.000000,-0.002656,0.007572,2.328958,0.040719,-0.044558,-27.342098,0.000065,-0.000640,0.000000,0.000000,0.000000,0.000000
1.990000,3.300306,0.000000,0.001499,0.028805,0.000000,-0.002721,-0.041076,3.833377,0.041358,0.255052,-42.650558,-0.000039,-0.000116,0.000000,0.000000,0.000000,0.000000
-0.270000,-3.271356,0.000000,0.001952,-0.003908,0.000000,-0.002682,0.009394,-3.911473,0.041475,-0.061023,41.597878,-0.000049,0.000623,0.000000,0.000000,0.000000,0.000000
-4.700000,-4.863608,0.000000,-0.001500,-0.068033,0.000000,-0.002456,0.068222,-4.903307,0.042002,-0.121792,189.747269,0.000092,0.003262,0.000000,0.000000,0.000000,0.000000
-0.700000,5.790010,0.000000,-0.001583,-0.010133,0.000000,-0.002547,0.008754,5.835131,0.038740,-0.015627,-225.806824,0.000134,-0.004324,0.000000,0.000000,0.000000,0.000000
-2.510000,-2.619980,0.000000,-0.001219,-0.036332,0.000000,-0.002681,0.036719,-2.661208,0.043064,-0.089271,75.620789,0.000049,0.001198,0.000000,0.000000,0.000000,0.000000
-0.120000,3.459531,0.000000,-0.000950,-0.001737,0.000000,-0.002730,0.000846,3.543660,0.041866,-0.002577,-80.357193,0.000069,-0.001531,0.000000,0.000000,0.000000,0.000000
0.390000,0.738226,0.000000,-0.000580,0.005645,0.000000,-0.002799,-0.006918,0.763261,0.043396,0.025082,-14.543658,-0.000004,-0.000205,0.000000,0.000000,0.000000,0.000000
-0.150000,-0.781651,0.000000,-0.000193,-0.002171,0.000000,-0.002795,0.002286,-0.824328,0.043601,-0.009520,13.675591,-0.000009,0.000234,0.000000,0.000000,0.000000,0.000000
-0.890000,-1.071152,0.000000,0.000169,-0.012883,0.000000,-0.002785,0.015762,-1.147301,0.043367,-0.073447,17.009159,0.000021,0.000123,0.000000,0.000000,0.000000,0.000000
-3.850000,-4.284607,0.000000,0.000499,-0.055729,0.000000,-0.002806,0.071305,-4.664585,0.043245,-0.364477,63.044212,0.000105,0.000208,0.000000,0.000000,0.000000,0.000000
0.510000,6.311111,0.000000,0.000705,0.007382,0.000000,-0.002911,-0.008930,7.002319,0.043037,0.049287,-87.647476,0.000108,-0.001527,0.000000,0.000000,0.000000,0.000000
-2.670000,1.143527,0.000000,-0.001830,-0.038648,0.000000,-0.002824,0.037800,1.151569,0.043878,-0.067482,-44.563213,0.000124,-0.001024,0.000000,0.000000,0.000000,0.000000
-2.490000,0.260551,0.000000,-0.001830,-0.036043,0.000000,-0.002948,0.035030,0.261549,0.044902,-0.062537,-10.121367,0.000099,-0.000359,0.000000,0.000000,0.000000,0.000000
-4.250000,-2.547604,0.000000,-0.001521,-0.061519,0.000000,-0.003047,0.062742,-2.587783,0.045261,-0.152537,73.534340,0.000121,0.000980,0.000000,0.000000,0.000000,0.000000
-3.920000,0.477676,0.000000,-0.001306,-0.056742,0.000000,-0.003168,0.059583,0.487764,0.044280,-0.181522,-11.060695,0.000170,-0.000702,0.000000,0.000000,0.000000,0.000000
4.150000,11.681346,0.000000,-0.001086,0.060071,0.000000,-0.003338,-0.067964,12.109457,0.044982,0.246412,-230.741104,0.000045,-0.003701,0.000000,0.000000,0.000000,0.000000
2.400000,-2.533130,0.000000,-0.000519,0.034740,0.000000,-0.003383,-0.040740,-2.665882,0.048684,0.169653,44.226944,-0.000161,0.001303,0.000000,0.000000,0.000000,0.000000
-4.950000,-10.639143,0.000000,-0.000032,-0.071651,0.000000,-0.003222,0.086491,-11.368986,0.047380,-0.403036,168.549347,0.000019,0.002099,0.000000,0.000000,0.000000,0.000000
