-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
-1.100000,-0.897452,0.000000,0.000048,-0.015923,0.000000,-0.002173,0.017748,-0.932732,0.042229,-0.064347,17.772863,0.000030,0.000167,0.000000,0.000000,0.000000,0.000000
-2.940000,-2.663405,0.000000,0.000384,-0.042557,0.000000,-0.002203,0.049617,-2.802705,0.042062,-0.206615,46.496819,0.000081,0.000321,0.000000,0.000000,0.000000,0.000000
2.320000,7.613863,0.000000,0.000641,0.033582,0.000000,-0.002284,-0.039780,8.130836,0.041740,0.185372,-120.542580,0.000046,-0.001782,0.000000,0.000000,0.000000,0.000000
-5.210000,-10.899693,0.000000,0.001128,-0.075415,0.000000,-0.002330,0.097069,-11.861340,0.043522,-0.496167,160.311951,0.000038,0.001697,0.000000,0.000000,0.000000,0.000000
-6.390000,-1.708053,0.000000,0.001302,-0.092495,0.000000,-0.002368,0.125447,-1.900275,0.041825,-0.692381,23.785597,0.000303,-0.001426,0.000000,0.000000,0.000000,0.000000
2.160000,12.376147,0.000000,0.001434,0.031266,0.000000,-0.002672,-0.042242,14.044044,0.043251,0.248572,-164.877914,0.000151,-0.002447,0.000000,0.000000,0.000000,0.000000
0.080000,10.219368,0.000000,-0.002086,0.001158,0.000000,-0.003186,-0.003208,10.299479,0.048620,0.005728,-398.567322,0.000186,-0.007527,0.000000,0.000000,0.000000,0.000000
-4.850000,-7.136187,0.000000,-0.001967,-0.070204,0.000000,-0.003372,0.069868,-7.194298,0.056146,-0.124730,278.403656,0.000052,0.004948,0.000000,0.000000,0.000000,0.000000
1.560000,9.278491,0.000000,-0.001697,0.022581,0.000000,-0.003424,-0.025388,9.417867,0.051198,0.061723,-267.617767,0.000110,-0.004910,0.000000,0.000000,0.000000,0.000000
-3.010000,-6.615087,0.000000,-0.001139,-0.043570,0.000000,-0.003534,0.045605,-6.781530,0.056108,-0.138938,153.780182,-0.000005,0.002545,0.000000,0.000000,0.000000,0.000000
1.740000,6.875638,0.000000,-0.000797,0.025187,0.000000,-0.003529,-0.028876,7.126235,0.053563,0.104693,-135.787720,0.000057,-0.002293,0.000000,0.000000,0.000000,0.000000
4.520000,4.024057,0.000000,-0.000253,0.065427,0.000000,-0.003585,-0.075892,4.227229,0.055855,0.316030,-70.129646,-0.000125,-0.000469,0.000000,0.000000,0.000000,0.000000
4.570000,0.072375,0.000000,0.000409,0.066151,0.000000,-0.003460,-0.079392,0.073364,0.056324,0.369958,-1.087647,-0.000213,0.000981,0.000000,0.000000,0.000000,0.000000
-1.500000,-8.786341,0.000000,0.001075,-0.021713,0.000000,-0.003247,0.028898,-9.563110,0.055343,-0.147714,129.250244,-0.000103,0.002046,0.000000,0.000000,0.000000,0.000000
-4.240000,-3.966157,0.000000,0.001489,-0.061374,0.000000,-0.003144,0.084076,-4.408098,0.053297,-0.464039,55.175819,0.000144,-0.000214,0.000000,0.000000,0.000000,0.000000
0.640000,7.063812,0.000000,0.001797,0.009264,0.000000,-0.003289,-0.010572,8.012630,0.053512,0.062213,-94.068756,0.000123,-0.001613,0.000000,0.000000,0.000000,0.000000
-7.700000,-19.642611,0.000000,-0.003009,-0.111458,0.000000,-0.004324,0.111174,-19.800203,0.058562,-0.198472,766.224670,-0.000074,0.013975,0.000000,0.000000,0.000000,0.000000
-4.640000,4.429358,0.000000,-0.003171,-0.067164,0.000000,-0.004250,0.065522,4.463582,0.044588,-0.116972,-172.730850,0.000262,-0.003613,0.000000,0.000000,0.000000,0.000000
-1.910000,3.951682,0.000000,-0.002944,-0.027647,0.000000,-0.004512,0.025833,4.010312,0.048201,-0.062805,-113.956871,0.000145,-0.002321,0.000000,0.000000,0.000000,0.000000
6.410000,12.043221,0.000000,-0.002611,0.092785,0.000000,-0.004657,-0.102531,12.340186,0.050522,0.312367,-279.830109,-0.000044,-0.004449,0.000000,0.000000,0.000000,0.000000
-0.040000,-9.336391,0.000000,-0.001920,-0.000579,0.000000,-0.004613,-0.001491,-9.682744,0.054971,0.005404,184.501038,-0.000187,0.003516,0.000000,0.000000,0.000000,0.000000
0.070000,0.159225,0.000000,-0.001530,0.001013,0.000000,-0.004426,-0.002939,0.164737,0.051455,0.012237,-2.732983,-0.000004,-0.000025,0.000000,0.000000,0.000000,0.000000
5.800000,8.294189,0.000000,-0.001146,0.083955,0.000000,-0.004421,-0.102772,8.857649,0.051480,0.478904,-131.317886,-0.000110,-0.001191,0.000000,0.000000,0.000000,0.000000
4.700000,-1.592253,0.000000,-0.000525,0.068033,0.000000,-0.004311,-0.086942,-1.735829,0.052671,0.444402,23.460596,-0.000268,0.001649,0.000000,0.000000,0.000000,0.000000
-0.290000,-7.223038,0.000000,0.000044,-0.004198,0.000000,-0.004043,0.005674,-8.022635,0.051022,-0.031314,100.418694,-0.000136,0.001814,0.000000,0.000000,0.000000,0.000000
2.760000,4.414883,0.000000,0.000403,0.039951,0.000000,-0.003907,-0.055999,5.007063,0.049209,0.329525,-58.783222,-0.000056,-0.000225,0.000000,0.000000,0.000000,0.000000
