0.236882,0.129960,0.000000,nan,-0.000000,ovf,0.000003,-0.000000,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
-2.270000,0.897452,0.000000,-0.000196,-0.032858,0.000000,-0.002870,0.041421,0.973700,0.036696,-0.211722,-13.160047,0.000130,-0.000824,0.000000,0.000000,0.000000,0.000000
-1.090000,1.708053,0.000000,-0.000004,-0.015778,0.000000,-0.003000,0.021097,1.893171,0.037520,-0.116440,-23.696667,0.000093,-0.000762,0.000000,0.000000,0.000000,0.000000
-0.140000,-13.041997,0.000000,-0.000822,-0.002027,0.000000,-0.001535,0.001307,-13.146486,0.031070,-0.002334,508.740295,-0.000246,0.009628,0.000000,0.000000,0.000000,0.000000
-8.140000,-11.580021,0.000000,-0.000753,-0.117827,0.000000,-0.001289,0.119871,-11.672634,0.021442,-0.213998,451.705444,0.000104,0.007956,0.000000,0.000000,0.000000,0.000000
-7.000000,1.650153,0.000000,-0.000961,-0.101325,0.000000,-0.001393,0.104955,1.674846,0.013486,-0.255165,-47.592361,0.000315,-0.001606,0.000000,0.000000,0.000000,0.000000
-3.040000,5.732111,0.000000,-0.001121,-0.044004,0.000000,-0.001709,0.046091,5.873832,0.015092,-0.140418,-133.196945,0.000235,-0.002899,0.000000,0.000000,0.000000,0.000000
-0.270000,4.009582,0.000000,-0.001111,-0.003908,0.000000,-0.001944,0.003109,4.156552,0.017991,-0.011271,-79.201523,0.000087,-0.001525,0.000000,0.000000,0.000000,0.000000
2.540000,4.067482,0.000000,-0.000987,0.036767,0.000000,-0.002031,-0.043623,4.275285,0.019516,0.181658,-70.926895,-0.000037,-0.000849,0.000000,0.000000,0.000000,0.000000
-0.160000,-3.908257,0.000000,-0.000748,-0.002316,0.000000,-0.001993,0.001893,-4.176282,0.020364,-0.008822,61.914913,-0.000074,0.001150,0.000000,0.000000,0.000000,0.000000
10.110000,14.865850,0.000000,-0.000631,0.146343,0.000000,-0.001919,-0.186386,16.171169,0.019214,0.952711,-218.561478,-0.000198,-0.001564,0.000000,0.000000,0.000000,0.000000
-1.140000,-16.284403,0.000000,-0.000082,-0.016502,0.000000,-0.001722,0.021960,-18.079466,0.020778,-0.121201,226.299240,-0.000283,0.003960,0.000000,0.000000,0.000000,0.000000
-1.280000,-13.128849,0.000000,0.000683,-0.018528,0.000000,0.000375,0.019705,-13.233620,0.012585,-0.035177,512.112183,-0.000197,0.009594,0.000000,0.000000,0.000000,0.000000
-0.330000,1.375127,0.000000,0.000664,-0.004777,0.000000,0.000572,0.005571,1.385955,0.002991,-0.009946,-53.633430,0.000042,-0.001060,0.000000,0.000000,0.000000,0.000000
