-0.237863,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061435,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000011,ovf,0.000000,-0.000000
-4.500000,-13.649948,0.000000,-0.000773,-0.065138,0.000000,-0.001980,0.065903,-13.759695,0.047437,-0.117652,532.470093,-0.000083,0.009790,0.000000,0.000000,0.000000,0.000000
-7.140000,-3.821406,0.000000,-0.000599,-0.103352,0.000000,-0.001898,0.107452,-3.880760,0.037647,-0.261236,110.275528,0.000217,0.001363,0.000000,0.000000,0.000000,0.000000
-7.470000,-0.477676,0.000000,-0.000554,-0.108128,0.000000,-0.002115,0.115622,-0.491048,0.036283,-0.352247,11.135164,0.000303,-0.000745,0.000000,0.000000,0.000000,0.000000
-6.000000,2.127829,0.000000,-0.000528,-0.086850,0.000000,-0.002418,0.095930,2.204368,0.037028,-0.347804,-42.003399,0.000301,-0.001735,0.000000,0.000000,0.000000,0.000000
3.830000,14.228950,0.000000,-0.000442,0.055439,0.000000,-0.002719,-0.064569,14.956794,0.038763,0.268882,-248.132965,0.000108,-0.003968,0.000000,0.000000,0.000000,0.000000
-4.220000,-11.652395,0.000000,0.000067,-0.061085,0.000000,-0.002827,0.073849,-12.451167,0.042730,-0.344129,184.593094,-0.000036,0.002572,0.000000,0.000000,0.000000,0.000000
-0.930000,4.762283,0.000000,0.000229,-0.013462,0.000000,-0.002791,0.017362,5.177720,0.040159,-0.088747,-69.979477,0.000145,-0.001570,0.000000,0.000000,0.000000,0.000000
7.540000,12.260347,0.000000,0.000532,0.109142,0.000000,-0.002936,-0.145258,13.606970,0.041729,0.801721,-170.317352,-0.000136,-0.001053,0.000000,0.000000,0.000000,0.000000
0.180000,-10.653619,0.000000,0.001195,0.002606,0.000000,-0.002800,-0.001997,-12.097914,0.042782,0.011753,142.030243,-0.000234,0.002723,0.000000,0.000000,0.000000,0.000000
-3.060000,-4.892559,0.000000,-0.001191,-0.044294,0.000000,-0.002139,0.044231,-4.932487,0.041407,-0.078963,190.876480,0.000027,0.003396,0.000000,0.000000,0.000000,0.000000
-2.470000,0.854026,0.000000,-0.001212,-0.035753,0.000000,-0.002166,0.035367,0.859893,0.038011,-0.063138,-33.275997,0.000112,-0.000807,0.000000,0.000000,0.000000,0.000000
-0.590000,2.721305,0.000000,-0.000954,-0.008540,0.000000,-0.002278,0.007934,2.761386,0.038818,-0.019288,-78.467453,0.000074,-0.001536,0.000000,0.000000,0.000000,0.000000
-0.080000,0.738226,0.000000,-0.000615,-0.001158,0.000000,-0.002351,0.000584,0.754852,0.040355,-0.001779,-17.117279,0.000016,-0.000326,0.000000,0.000000,0.000000,0.000000
3.190000,4.733334,0.000000,-0.000258,0.046175,0.000000,-0.002367,-0.051601,4.905589,0.040681,0.187086,-93.474144,-0.000047,-0.001263,0.000000,0.000000,0.000000,0.000000
-2.620000,-8.409989,0.000000,0.000240,-0.037925,0.000000,-0.002320,0.044098,-8.844084,0.041944,-0.183636,146.723190,-0.000048,0.002284,0.000000,0.000000,0.000000,0.000000
-0.350000,3.285830,0.000000,0.000486,-0.005066,0.000000,-0.002272,0.006706,3.507395,0.039660,-0.031248,-51.998402,0.000085,-0.001073,0.000000,0.000000,0.000000,0.000000
-4.420000,-5.891335,0.000000,0.000833,-0.063980,0.000000,-0.002357,0.082193,-6.412490,0.040733,-0.420127,86.668022,0.000101,0.000507,0.000000,0.000000,0.000000,0.000000
-0.530000,5.630785,0.000000,0.001011,-0.007672,0.000000,-0.002458,0.011613,6.247111,0.040227,-0.064095,-78.194580,0.000150,-0.001655,0.000000,0.000000,0.000000,0.000000
2.140000,3.864832,0.000000,0.001360,0.030977,0.000000,-0.002607,-0.041936,4.382619,0.041882,0.246776,-51.452213,-0.000031,-0.000304,0.000000,0.000000,0.000000,0.000000
1.750000,5.761060,0.000000,-0.001791,0.025331,0.000000,-0.002818,-0.027664,5.805788,0.045271,0.049387,-224.671280,0.000035,-0.004120,0.000000,0.000000,0.000000,0.000000
-1.890000,-5.268909,0.000000,-0.001614,-0.027358,0.000000,-0.002853,0.026359,-5.312012,0.049391,-0.047056,205.563278,-0.000029,0.003773,0.000000,0.000000,0.000000,0.000000
-0.990000,1.302752,0.000000,-0.001274,-0.014330,0.000000,-0.002824,0.013654,1.321062,0.045618,-0.033194,-37.539246,0.000062,-0.000808,0.000000,0.000000,0.000000,0.000000
-0.940000,0.072375,0.000000,-0.000901,-0.013607,0.000000,-0.002886,0.013656,0.072254,0.046426,-0.041604,-1.638447,0.000038,-0.000142,0.000000,0.000000,0.000000,0.000000
4.090000,7.280938,0.000000,-0.000533,0.059203,0.000000,-0.002924,-0.066385,7.546775,0.046568,0.240684,-143.800934,-0.000037,-0.002072,0.000000,0.000000,0.000000,0.000000
0.930000,-4.574108,0.000000,0.000052,0.013462,0.000000,-0.002887,-0.015495,-4.811741,0.048639,0.064524,79.826706,-0.000133,0.001690,0.000000,0.000000,0.000000,0.000000
-0.260000,-1.722528,0.000000,0.000499,-0.003764,0.000000,-0.002754,0.005147,-1.843534,0.046949,-0.023985,27.331057,-0.000021,0.000450,0.000000,0.000000,0.000000,0.000000
0.860000,1.621203,0.000000,0.000897,0.012449,0.000000,-0.002733,-0.014649,1.759807,0.046500,0.074880,-23.784668,-0.000006,-0.000249,0.000000,0.000000,0.000000,0.000000
-1.050000,-2.764730,0.000000,0.001348,-0.015199,0.000000,-0.002727,0.022130,-3.073748,0.046748,-0.122143,38.473854,0.000002,0.000399,0.000000,0.000000,0.000000,0.000000
1.060000,3.054230,0.000000,0.001727,0.015344,0.000000,-0.002729,-0.019281,3.461827,0.046350,0.113460,-40.642056,0.000013,-0.000463,0.000000,0.000000,0.000000,0.000000
-3.340000,-6.369011,0.000000,0.002204,-0.048347,0.000000,-0.002742,0.076043,-7.413406,0.046813,-0.472166,82.482330,0.000065,0.000285,0.000000,0.000000,0.000000,0.000000
-1.520000,-3.821407,0.000000,-0.002391,-0.022002,0.000000,-0.003527,0.020196,-3.852992,0.050387,-0.036054,149.102386,-0.000018,0.002725,0.000000,0.000000,0.000000,0.000000
-5.380000,-5.587360,0.000000,-0.002331,-0.077876,0.000000,-0.003508,0.077350,-5.632917,0.047661,-0.138087,217.981583,0.000103,0.003749,0.000000,0.000000,0.000000,0.000000
-2.580000,4.053007,0.000000,-0.002160,-0.037346,0.000000,-0.003611,0.036795,4.113258,0.043912,-0.089455,-116.882179,0.000177,-0.002462,0.000000,0.000000,0.000000,0.000000
-2.450000,0.188175,0.000000,-0.001873,-0.035464,0.000000,-0.003788,0.036103,0.191069,0.046374,-0.109990,-4.332755,0.000101,-0.000375,0.000000,0.000000,0.000000,0.000000
0.890000,4.834659,0.000000,-0.001595,0.012883,0.000000,-0.003889,-0.016090,5.010611,0.046750,0.058334,-95.475281,0.000051,-0.001649,0.000000,0.000000,0.000000,0.000000
