ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-12998235.000000,0.000000,ovf,-1037553.437500,ovf,-0.000001,ovf,0.000000,-0.000000,ovf,ovf,ovf
-2.700000,-0.767176,0.000000,-0.000859,-0.039083,0.000000,-0.001475,0.039137,-0.773873,0.024609,-0.069869,29.947193,0.000092,0.000355,0.000000,0.000000,0.000000,0.000000
-2.990000,-0.419776,0.000000,-0.000745,-0.043280,0.000000,-0.001566,0.044480,-0.426943,0.024254,-0.108140,12.131993,0.000112,-0.000063,0.000000,0.000000,0.000000,0.000000
2.510000,7.961264,0.000000,-0.000651,0.036332,0.000000,-0.001678,-0.039750,8.157821,0.024318,0.121100,-184.989395,0.000047,-0.003175,0.000000,0.000000,0.000000,0.000000
1.070000,-2.084404,0.000000,-0.000314,0.015488,0.000000,-0.001725,-0.017561,-2.162552,0.027493,0.063668,41.206608,-0.000089,0.000958,0.000000,0.000000,0.000000,0.000000
0.500000,-0.825077,0.000000,-0.000043,0.007238,0.000000,-0.001636,-0.008412,-0.868996,0.026534,0.035031,14.416633,-0.000039,0.000366,0.000000,0.000000,0.000000,0.000000
-2.820000,-4.805708,0.000000,0.000203,-0.040820,0.000000,-0.001597,0.049540,-5.135783,0.026168,-0.230851,76.139847,0.000037,0.000817,0.000000,0.000000,0.000000,0.000000
0.310000,4.530683,0.000000,0.000306,0.004487,0.000000,-0.001634,-0.005302,4.926825,0.025352,0.027102,-66.588509,0.000079,-0.001189,0.000000,0.000000,0.000000,0.000000
-2.650000,-4.284608,0.000000,0.000545,-0.038359,0.000000,-0.001713,0.052031,-4.758927,0.026541,-0.287174,59.567108,0.000050,0.000353,0.000000,0.000000,0.000000,0.000000
2.330000,7.208563,0.000000,0.000661,0.033727,0.000000,-0.001764,-0.046820,8.180078,0.026188,0.275510,-96.034599,0.000028,-0.001074,0.000000,0.000000,0.000000,0.000000
-3.490000,2.200204,0.000000,-0.000584,-0.050518,0.000000,-0.001219,0.051194,2.217014,0.027574,-0.091393,-85.793602,0.000180,-0.001870,0.000000,0.000000,0.000000,0.000000
-2.850000,0.926402,0.000000,-0.000654,-0.041254,0.000000,-0.001400,0.041570,0.933039,0.029444,-0.074212,-36.106586,0.000130,-0.000881,0.000000,0.000000,0.000000,0.000000
-3.690000,-1.215902,0.000000,-0.000483,-0.053413,0.000000,-0.001530,0.055350,-1.235407,0.030325,-0.134566,35.105282,0.000126,0.000302,0.000000,0.000000,0.000000,0.000000
-4.290000,-0.868502,0.000000,-0.000356,-0.062098,0.000000,-0.001656,0.066360,-0.891323,0.030022,-0.202168,20.211939,0.000162,-0.000165,0.000000,0.000000,0.000000,0.000000
-1.430000,4.139857,0.000000,-0.000260,-0.020699,0.000000,-0.001818,0.022714,4.290805,0.030187,-0.082354,-81.759659,0.000142,-0.001771,0.000000,0.000000,0.000000,0.000000
-0.020000,2.040979,0.000000,-0.000039,-0.000290,0.000000,-0.001960,0.000289,2.143781,0.031958,-0.001204,-35.565296,0.000041,-0.000673,0.000000,0.000000,0.000000,0.000000
-3.030000,-4.356983,0.000000,0.000241,-0.043859,0.000000,-0.002001,0.053257,-4.656859,0.032631,-0.248174,69.039635,0.000056,0.000637,0.000000,0.000000,0.000000,0.000000
-2.030000,1.447503,0.000000,0.000393,-0.029384,0.000000,-0.002057,0.037762,1.572156,0.031994,-0.193022,-21.248478,0.000132,-0.000926,0.000000,0.000000,0.000000,0.000000
-2.700000,-0.969827,0.000000,0.000590,-0.039083,0.000000,-0.002189,0.053059,-1.079615,0.032920,-0.292849,13.513449,0.000123,-0.000535,0.000000,0.000000,0.000000,0.000000
-0.960000,2.518655,0.000000,0.000761,-0.013896,0.000000,-0.002312,0.020754,2.855653,0.033454,-0.122128,-33.525536,0.000110,-0.000964,0.000000,0.000000,0.000000,0.000000
-8.470000,-31.396330,0.000000,-0.001133,-0.122603,0.000000,-0.001878,0.124450,-31.646816,0.032694,-0.222172,1224.662720,-0.000263,0.022590,0.000000,0.000000,0.000000,0.000000
-1.430000,10.190418,0.000000,-0.001387,-0.020699,0.000000,-0.001615,0.019774,10.271266,0.010104,-0.035301,-397.475586,0.000248,-0.007663,0.000000,0.000000,0.000000,0.000000
-6.070000,-6.716413,0.000000,-0.001295,-0.087863,0.000000,-0.001864,0.090527,-6.819006,0.017767,-0.220089,193.768646,0.000115,0.003088,0.000000,0.000000,0.000000,0.000000
-3.830000,3.242406,0.000000,-0.001431,-0.055439,0.000000,-0.001979,0.058048,3.322416,0.014680,-0.176845,-75.340187,0.000220,-0.001911,0.000000,0.000000,0.000000,0.000000
-1.190000,3.821407,0.000000,-0.001476,-0.017225,0.000000,-0.002199,0.017502,3.961596,0.016590,-0.063455,-75.486717,0.000122,-0.001597,0.000000,0.000000,0.000000,0.000000
