ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-50759.355469,0.000000,ovf,ovf,ovf,-0.000000,ovf,0.000000,-0.000000,ovf,ovf,ovf
-2.320000,-6.180836,0.000000,0.002235,-0.033582,0.000000,0.002309,0.036671,-6.229969,-0.004966,-0.065466,241.086197,-0.000018,0.004386,0.000000,0.000000,0.000000,0.000000
-1.310000,1.461978,0.000000,0.002135,-0.018962,0.000000,0.002327,0.021602,1.473745,-0.009352,-0.038564,-57.030731,0.000086,-0.001192,0.000000,0.000000,0.000000,0.000000
-1.460000,-0.217125,0.000000,0.002043,-0.021134,0.000000,0.002241,0.024236,-0.220321,-0.008160,-0.058923,6.260640,0.000061,-0.000039,0.000000,0.000000,0.000000,0.000000
-0.650000,1.172477,0.000000,0.001958,-0.009409,0.000000,0.002180,0.012217,1.201644,-0.008121,-0.037219,-27.248875,0.000056,-0.000617,0.000000,0.000000,0.000000,0.000000
4.780000,7.859939,0.000000,0.001923,0.069191,0.000000,0.002124,-0.074755,8.149420,-0.007504,0.271032,-155.284103,-0.000048,-0.002206,0.000000,0.000000,0.000000,0.000000
-1.350000,-8.873191,0.000000,0.002140,-0.019541,0.000000,0.002172,0.025053,-9.328754,-0.005298,-0.104326,154.763870,-0.000109,0.002652,0.000000,0.000000,0.000000,0.000000
3.970000,7.700714,0.000000,0.002107,0.057466,0.000000,0.002281,-0.066854,8.226413,-0.007951,0.311534,-121.959572,-0.000025,-0.001472,0.000000,0.000000,0.000000,0.000000
0.770000,-4.632008,0.000000,0.002316,0.011146,0.000000,0.002305,-0.011198,-5.039709,-0.006479,0.057238,68.114189,-0.000126,0.001447,0.000000,0.000000,0.000000,0.000000
-2.720000,-5.051784,0.000000,0.002405,-0.039372,0.000000,0.002431,0.055874,-5.608937,-0.007926,-0.308383,70.206619,0.000045,0.000493,0.000000,0.000000,0.000000,0.000000
-3.210000,-0.709276,0.000000,0.002363,-0.046465,0.000000,0.002386,0.069138,-0.806093,-0.008419,-0.406846,9.463576,0.000172,-0.000922,0.000000,0.000000,0.000000,0.000000
0.910000,5.963710,0.000000,0.002317,0.013172,0.000000,0.002214,-0.016329,6.934699,-0.007497,0.101389,-77.156189,0.000087,-0.001185,0.000000,0.000000,0.000000,0.000000
-5.010000,-4.588583,0.000000,0.000034,-0.072520,0.000000,-0.000350,0.074329,-4.625501,0.016332,-0.132694,178.996765,0.000113,0.003033,0.000000,0.000000,0.000000,0.000000
-1.110000,5.645260,0.000000,-0.000122,-0.016067,0.000000,-0.000463,0.016326,5.689818,0.013300,-0.029146,-220.183548,0.000152,-0.004254,0.000000,0.000000,0.000000,0.000000
-1.200000,-0.130275,0.000000,0.000003,-0.017370,0.000000,-0.000615,0.018168,-0.132873,0.017553,-0.044169,3.775723,0.000046,-0.000040,0.000000,0.000000,0.000000,0.000000
-0.310000,1.288277,0.000000,0.000123,-0.004487,0.000000,-0.000661,0.004956,1.319448,0.017593,-0.015097,-29.920242,0.000038,-0.000607,0.000000,0.000000,0.000000,0.000000
2.250000,3.705606,0.000000,0.000284,0.032569,0.000000,-0.000699,-0.035878,3.841074,0.018201,0.130078,-73.190216,-0.000024,-0.001033,0.000000,0.000000,0.000000,0.000000
2.950000,1.013252,0.000000,0.000560,0.042701,0.000000,-0.000675,-0.048694,1.063918,0.019234,0.202772,-17.650377,-0.000112,0.000216,0.000000,0.000000,0.000000,0.000000
3.880000,1.346177,0.000000,0.000869,0.056163,0.000000,-0.000563,-0.066776,1.436509,0.019017,0.311168,-21.296774,-0.000153,0.000438,0.000000,0.000000,0.000000,0.000000
0.100000,-5.471560,0.000000,0.001223,0.001448,0.000000,-0.000410,-0.000285,-5.954371,0.018579,0.001455,80.476318,-0.000113,0.001527,0.000000,0.000000,0.000000,0.000000
-3.000000,-4.487258,0.000000,0.001425,-0.043425,0.000000,-0.000297,0.059984,-4.983656,0.017052,-0.331069,62.380028,0.000068,0.000283,0.000000,0.000000,0.000000,0.000000
-2.170000,1.201427,0.000000,0.001506,-0.031411,0.000000,-0.000365,0.046608,1.361299,0.016770,-0.274268,-15.981731,0.000152,-0.001045,0.000000,0.000000,0.000000,0.000000
1.980000,6.007136,0.000000,0.001631,0.028661,0.000000,-0.000517,-0.040660,6.983505,0.017815,0.252464,-77.699211,0.000022,-0.000786,0.000000,0.000000,0.000000,0.000000
